_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,audience,bias,message,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text
858943422,1/8/2016 20:56:27,1853350611,1/8/2016 20:48:23,false,cf_internal,1.0,35908969,USA,NY,New York,216.165.95.67,constituency,neutral,media,,,M000087,"<blockquote class=""twitter-tweet"" width=""450""><p>In LES w Ukrainian-Americans, UCCA in support of their friends, family &amp; all people who want a free #Ukraine http://t.co/tGQdHTe3AM</p> Carolyn  B. Maloney (@RepMaloney) <a href='https://twitter.com/RepMaloney/status/442331949026115584'>2014-03-08 11:12:09</a></blockquote>",442331949026115584,From: Carolyn Maloney (Representative from New York),,twitter,"In LES w Ukrainian-Americans, UCCA in support of their friends, family &amp; all people who want a free #Ukraine http://t.co/tGQdHTe3AM"
858943425,1/11/2016 14:35:38,1855878707,1/11/2016 14:33:40,false,cf_internal,1.0,35942551,USA,NY,New York,216.165.95.2,national,partisan,attack,,,L000560,"<blockquote class=""twitter-tweet"" width=""450""><p>Senate yet again removes anti-Obamacare provisions in budget bill. Time for GOP to allow a clean vote on a clean budget bill. 2 hours to go.</p> Rep. Rick Larsen (@RepRickLarsen) <a href='https://twitter.com/RepRickLarsen/status/384855774448459778'>2013-09-30 21:42:21</a></blockquote>",384855774448459778,From: Rick Larsen (Representative from Washington),,twitter,Senate yet again removes anti-Obamacare provisions in budget bill. Time for GOP to allow a clean vote on a clean budget bill. 2 hours to go.
858943426,1/10/2016 17:15:02,1855385414,1/10/2016 17:11:52,false,cf_internal,1.0,35908969,USA,NY,Bronx,63.143.238.57,national,neutral,media,,,R000592,"<blockquote class=""twitter-tweet"" width=""450""><p>Live at 10:30 a w/ @GarrisonRadio on @93wibc to talk State Health Flexibility Act. Listen live. http://t.co/kjbfY5XD</p> Rep. Todd Rokita (@ToddRokita) <a href='https://twitter.com/ToddRokita/status/300981333382004737'>2013-02-11 09:55:16</a></blockquote>",300981333382004737,From: Todd Rokita (Representative from Indiana),,twitter,Live at 10:30 a w/ @GarrisonRadio on @93wibc to talk State Health Flexibility Act. Listen live. http://t.co/kjbfY5XD
858943430,1/9/2016 22:25:50,1855001059,1/9/2016 22:18:16,false,cf_internal,1.0,35926774,USA,NY,New York,216.165.95.69,constituency,neutral,constituency,,,B001288,"<blockquote class=""twitter-tweet"" width=""450""><p>@NTerryAPP No, I am not making any endorsements in this race.</p> Cory Booker (@CoryBooker) <a href='https://twitter.com/CoryBooker/status/528675316781551617'>2014-11-01 18:29:52</a></blockquote>",528675316781551617,From: Cory Booker (Senator from New Jersey),,twitter,"@NTerryAPP No, I am not making any endorsements in this race."
858943432,1/11/2016 15:16:36,1855893324,1/11/2016 15:14:11,false,cf_internal,1.0,35909394,USA,NY,New York,216.165.95.1,constituency,neutral,"constituency
media
personal",,,L000554,"<blockquote class=""twitter-tweet"" width=""450""><p>Had opportunity to meet with #SouthJersey 8th grade students from Bridgeton Public Schools on warm day at Capitol http://t.co/AmhOcEnI0X</p> Frank LoBiondo (@RepLoBiondo) <a href='https://twitter.com/RepLoBiondo/status/482180533963993088'>2014-06-26 11:16:12</a></blockquote>",482180533963993088,From: Frank LoBiondo (Representative from New Jersey),,twitter,Had opportunity to meet with #SouthJersey 8th grade students from Bridgeton Public Schools on warm day at Capitol http://t.co/AmhOcEnI0X
858943444,1/8/2016 20:56:27,1853350623,1/8/2016 20:48:23,false,cf_internal,1.0,35908969,USA,NY,New York,216.165.95.67,constituency,neutral,"support
media",,,P000605,"<blockquote class=""twitter-tweet"" width=""450""><p>Enjoyed stuffing USO care packages today for troops serving overseas. http://t.co/Z0AoyRNYK1</p> RepScottPerry (@RepScottPerry) <a href='https://twitter.com/RepScottPerry/status/377868915109396480'>2013-09-11 14:59:04</a></blockquote>",377868915109396480,From: Scott Perry (Representative from Pennsylvania),,twitter,Enjoyed stuffing USO care packages today for troops serving overseas. http://t.co/Z0AoyRNYK1
858943458,1/11/2016 14:18:01,1855872817,1/11/2016 14:15:29,false,cf_internal,1.0,35951410,USA,NY,New York,216.165.95.79,national,neutral,media,,,G000571,"<blockquote class=""twitter-tweet"" width=""450""><p>Rep. Tulsi Gabbard joins @WakeUp2day @KHONnews this a.m. @ 7:15 HST to discuss the yr ahead in Congress. Watch here: http://t.co/jhEbwp8yon</p> Rep. Tulsi Gabbard (@TulsiPress) <a href='https://twitter.com/TulsiPress/status/426033170228592640'>2014-01-22 11:46:37</a></blockquote>",426033170228592640,From: Tulsi Gabbard (Representative from Hawaii),,twitter,Rep. Tulsi Gabbard joins @WakeUp2day @KHONnews this a.m. @ 7:15 HST to discuss the yr ahead in Congress. Watch here: http://t.co/jhEbwp8yon
858943459,1/11/2016 02:21:08,1855636037,1/11/2016 02:19:16,false,cf_internal,1.0,35945313,USA,NY,New York,216.165.95.0,constituency,partisan,"support
mobilization
policy",,,S000030,"<blockquote class=""twitter-tweet"" width=""450""><p>Another report out on econ benefit of #ImmigrationReform. What are we waiting for? #TimeIsNow http://t.co/Nz59DmISPx http://t.co/X0vxjW5A0i</p> Loretta Sanchez (@LorettaSanchez) <a href='https://twitter.com/LorettaSanchez/status/395589983962009601'>2013-10-30 12:36:16</a></blockquote>",395589983962009601,From: Loretta Sanchez (Representative from California),,twitter,Another report out on econ benefit of #ImmigrationReform. What are we waiting for? #TimeIsNow http://t.co/Nz59DmISPx http://t.co/X0vxjW5A0i
858943462,1/11/2016 13:45:26,1855861919,1/11/2016 13:42:08,false,cf_internal,1.0,35944293,USA,NY,New York,216.165.95.69,constituency,neutral,constituency,,,F000461,"<blockquote class=""twitter-tweet"" width=""450""><p>I appreciated hearing constituents' thoughts at the Waco Immigration Forum this past weekend. http://t.co/4b1pWZi7Er</p> Rep. Bill Flores (@RepBillFlores) <a href='https://twitter.com/RepBillFlores/status/544907026573557761'>2014-12-16 12:28:53</a></blockquote>",544907026573557761,From: Bill Flores (Representative from Texas),,twitter,I appreciated hearing constituents' thoughts at the Waco Immigration Forum this past weekend. http://t.co/4b1pWZi7Er
858943465,1/11/2016 02:34:50,1855640262,1/11/2016 02:30:45,false,cf_internal,1.0,35942814,USA,NY,New York,104.131.176.234,constituency,neutral,information,,,B000589,"<blockquote class=""twitter-tweet"" width=""450""><p>More on House-passed #SKILLSAct from @SusanWBrooks in Weekly #GOP address: http://t.co/g0Ofoab2jE</p> Speaker John Boehner (@SpeakerBoehner) <a href='https://twitter.com/SpeakerBoehner/status/430426049382326272'>2014-02-03 14:42:21</a></blockquote>",430426049382326272,From: John Boehner (Representative from Ohio),,twitter,More on House-passed #SKILLSAct from @SusanWBrooks in Weekly #GOP address: http://t.co/g0Ofoab2jE
